username,date,retweets,favorites,text,hashtags
AbbyReyes114,2017-10-30 18:35,0,0,"Bruce Weight ft Xannyboi ""BUENO"" (OFFICIAL VIDEO) https:// youtu.be/Uz7iJnjRGfg via @YouTube #bueno #virginamerica #MondayMotivation #MusicMonday",#bueno #virginamerica #MondayMotivation #MusicMonday
kerrykeith,2017-10-30 09:05,0,0,#VX #virginamerica #n362va #vx362 #virgin #anewday #aviation #planes #kerrykeith #kerrywkeith … https://www. instagram.com/p/Ba34jgMF2Op/,#VX #virginamerica #n362va #vx362 #virgin #anewday #aviation #planes #kerrykeith #kerrywkeith
goldmind,2017-10-30 06:41,0,0,Welcome to the “new” post-merger #virginamerica in the #alaskaairline terminal at JFK. What a dump!,#virginamerica #alaskaairline
KarlHab,2017-10-29 10:28,2,13,Shot this years ago from a little R22 #virginamerica #airbus #losangeles #lax #Aviation pic.twitter.com/EjspCKxDI2,#virginamerica #airbus #losangeles #lax #Aviation
mybanktracker,2017-10-28 17:51,0,0,The Best Options to Replace Virgin America Credit Cards https://www. mybanktracker.com/credit-cards/a irline/virgin-america-credit-cards-closing-271553 … #creditcard #virginamerica #airlines pic.twitter.com/fNdEJ4RLdY,#creditcard #virginamerica #airlines
alexpdl,2017-10-28 13:04,0,9,Landing into SFO and caught this cool #virginamerica shot from window. My favorite airline. Not looking forward to seeing it disappear. pic.twitter.com/53SVdULTG4,#virginamerica
teachr65,2017-10-28 10:05,0,0,Virgin America is THE way to fly! #VirginAmerica (@San Francisco International Airport) https://www. swarmapp.com/c/8YCSsegq6zt pic.twitter.com/wVAlnADjia,#VirginAmerica
shaunakdass,2017-10-28 03:41,0,0,#LatePost Just before #landing at #mccarranairport #LasVegas #virginamerica Thanks… https://www. instagram.com/p/BanGD5kH4mU/,#LatePost #landing #mccarranairport #LasVegas #virginamerica
KillahB_5,2017-10-27 19:59,0,0,#virginamerica When the Virgin America Visa is going out of business next month. Don't try to COLLECT NEXT YEAR'S SERVICE FEES SCAM!,#virginamerica
toddmichaels,2017-10-27 13:14,0,2,Loved meeting Vincent from Los Angeles at @GeminiJets / @AIRPLANESHOP #LasVegas His model airplane matched his cast! #VirginAmerica #kids pic.twitter.com/3X0FWDOVhP,#LasVegas #VirginAmerica #kids
laptoptravel,2017-10-27 13:05,0,0,#VirginAmerica Booking and Check-In Experience on Mobile App & Website - Part of My 2017 #Alaska #Mega #MileageRun https:// buff.ly/2xof3sK pic.twitter.com/vnpAIhhrkj,#VirginAmerica #Alaska #Mega #MileageRun
LFauberATX,2017-10-27 11:31,2,1,It hasn't been long since the acquisition of @virginamerica by @AlaskaAir and the service is already abysmal. #Virginsucks #Virginamerica,#Virginsucks #Virginamerica
lafoster57,2017-10-27 10:15,0,1,#virginamerica don't pay extra for priority security and boarding-airport security doesn't allow it-you are put in the regular security line,#virginamerica
wchrisburcham,2017-10-27 09:00,0,1,One of my favorite things about #VirginAmerica is the always on point mood lighting. I’m going… https://www. instagram.com/p/BawJp1CjRtW/,#VirginAmerica
sanjaylala,2017-10-27 08:45,0,1,Co-presenting with #virginamerica on “Providing Passenger Care at 36000 feet” at the Worldwide Airline Customer Relations Association 2017 pic.twitter.com/dAVdUkLKDa,#virginamerica
Andy_86_,2017-10-27 02:30,0,1,Leaving Las Vegas #virginamerica @McCarran International Airport https://www. instagram.com/p/Bau65TkHJ25j pdxIThCQC8w1PEJLoB8h3TtIw00/ …,#virginamerica
AirTravellerorg,2017-10-27 01:32,0,0,#AlaskaAirlines struggles to bring #VirginAmerica on board,#AlaskaAirlines #VirginAmerica
cn_hiroshi,2017-10-26 23:36,1,21,"2017/10/15 Sun. LAX Virgin America A319-112 ""N522VA"" LAXで気に入ったのはヴァージンアメリカの319。ロゴ、彩色、機体形状がとてもバランスの良い佇まい。 #virginatrantic #virginamerica pic.twitter.com/bPxBTCG7rJ",#virginatrantic #virginamerica
59ericj,2017-10-26 22:29,0,1,And again #epicfail #alaskaairlinesucks #alaskaairline #virginamerica,#epicfail #alaskaairlinesucks #alaskaairline #virginamerica
francescup,2017-10-26 21:30,0,0,I’ll never get tired of this office view . . . #virginamerica … https://www. instagram.com/p/Bau6rOIFl9tz Oj-eEJbZ5S5bdZiUVsJ8YgzSGY0/ …,#virginamerica
MilesDeals,2017-10-26 20:00,0,0,"New York to Honolulu, Hawaii (and vice versa) for only $560 roundtrip with Virgin America. #VirginAmerica #NewYork https:// milesreport.com/us/new-york/de als#t14844 …",#VirginAmerica #NewYork #t14844
darbyspoodle4,2017-10-26 16:18,0,2,New favorite airline yes. #virginamerica pic.twitter.com/DZpsPgcrbz,#virginamerica
CrainsSeattle,2017-10-26 13:14,0,1,#alaskaair stock falls sharply on difficulties with #virginamerica and #horizonair . Via Seattle Times http:// cra.in/yVpcPlX,#alaskaair #virginamerica #horizonair
CrainsPortland,2017-10-26 10:31,0,1,#alaskaair stock falls sharply on difficulties with #virginamerica and #horizonair . Via Seattle Times http:// cra.in/cNwuA7n pic.twitter.com/m6bRdsEDx8,#alaskaair #virginamerica #horizonair
shanterraMcB,2017-10-25 18:48,0,0,@VirginAmerica still has the best safety video EVER! #virginamerica #singalong,#virginamerica #singalong
Samantha_Rush,2017-10-25 18:40,0,0,The quest back to LA was lovely! #neverendingstory #artax #falcor #mimosas #virginamerica https://www. instagram.com/p/BasCfdug2dE/,#neverendingstory #artax #falcor #mimosas #virginamerica
VeronicaAllen,2017-10-25 15:22,0,1,This is why I absolutely love #VirginAmerica . So compassionate during family emergency. They helped w/no hesitation when I rushed to my mom. https:// twitter.com/rrhoover/statu s/922929664548421633 …,#VirginAmerica
wedeacon,2017-10-25 14:20,0,1,IAD LAX | Escape 2017 trip commence. • • • • • #dulles #virginamerica #worktrip #insomniac … https://www. instagram.com/p/Barkq0xBo6w/,#dulles #virginamerica #worktrip #insomniac
wanderingjokas,2017-10-25 12:37,0,0,Aloha! Anniversary #3 Maui Trip has commenced! #hawaii #hawaiiiscallingandimustgo #virginamerica #travel #maui #trav … pic.twitter.com/Tekb5l6S9y,#3 #hawaii #hawaiiiscallingandimustgo #virginamerica #travel #maui #trav
Aviationizer,2017-10-25 12:05,0,0,"Review: #AlaskaAirlines First Class, #Seattle to #Dallas Love Field #LosAngeles #VirginAmerica #SanFrancisco http:// aviation.trendolizer.com/2017/10/review -alaska-airlines-first-class-seattle-to-dallas-love-field.html … pic.twitter.com/2DZTdwPNzI",#AlaskaAirlines #Seattle #Dallas #LosAngeles #VirginAmerica #SanFrancisco
MonicaMJW,2017-10-25 11:11,0,1,"Good restaurants, shops, seating, music, and restrooms. #Terminal2 is a pleasure at @flySFO #virginamerica",#Terminal2 #virginamerica
DrizztDZC,2017-10-25 09:53,0,0,"I didn't know #VirginAmerica moved over to terminal 6 at #LAX , I'm liking the upgrade!!!",#VirginAmerica #LAX
PaulDJohnson1,2017-10-24 17:02,0,0,#virginamerica terrible customer service. Do not honor premium seats paid for. Even tho empty.,#virginamerica
crystalperkins,2017-10-24 15:48,0,2,On the road again @sheldonkee away #VegasBound #workandplay #lasvegas #travel #virginamerica … https://www. instagram.com/p/BapJ8STDGu3/,#VegasBound #workandplay #lasvegas #travel #virginamerica
ChadJamesSpeaks,2017-10-24 14:54,0,0,Virgin America Will No Longer Exist in 6 Months https://www. cntraveler.com/story/virgin-a merica-will-no-longer-exist-in-6-months … #VirginAmerica,#VirginAmerica
stjohnlennon,2017-10-24 08:13,0,0,John Lennon takes a Virgin Galactic flight to speak of peace from space. It's in the time-travel novel SAINT JOHN LENNON! #virginamerica,#virginamerica
qx_skyguy,2017-10-24 01:39,0,0,Oh hey there Virgin America! #virginamerica #airbus #a320 #alaskair #horizonair #seatac #ramp … https://www. instagram.com/p/BanowQiB6NL/,#virginamerica #airbus #a320 #alaskair #horizonair #seatac #ramp
GenuinelyDope,2017-10-23 17:39,0,1,Flight 1169 finally boarding #virginamerica,#virginamerica
hospnomad,2017-10-22 22:31,0,0,Say Goodbye to Virgin America. #Virgin #VirginAmerica #Goodbye #Travel #Airlines #Hospitalitynomad https://www. cntraveler.com/story/virgin-a merica-will-no-longer-exist-in-6-months?mbid=social_facebook …,#Virgin #VirginAmerica #Goodbye #Travel #Airlines #Hospitalitynomad
ShelleyFrost40,2017-10-22 20:49,0,0,Hello #UnitedAirlines #AmericanAirlines #DeltaAirlines #VirginAmerica http:// fb.me/17i8S1HIY,#UnitedAirlines #AmericanAirlines #DeltaAirlines #VirginAmerica
Kellisae,2017-10-22 17:15,1,0,Yet again another delayed #virginamerica #alaskaairlines flight! #getittogether Where’s management! We need @richardbranson back ASAP!,#virginamerica #alaskaairlines #getittogether
lorisplexus,2017-10-22 15:47,0,1,Next stop #SanFrancisco #homewardbound #VirginAmerica #Flight #IMissMyBabies #CaliforniaBound … https://www. instagram.com/p/BakAQ1YlhDX/,#SanFrancisco #homewardbound #VirginAmerica #Flight #IMissMyBabies #CaliforniaBound
AryaJoti,2017-10-22 13:42,0,0,Settling into my flight...gonna be a good one #virginamerica #genewilder #melbrooks #goinghome https://www. instagram.com/p/Bajx8xcAuo-/,#virginamerica #genewilder #melbrooks #goinghome
marcus_russell1,2017-10-22 00:08,0,0,Thanks Beth for providing great customer service tonite VX 1322 #VirginAmerica,#VirginAmerica
